,State,Population (2006),Population (2016),Rank
0,Kano State,9401288.0,13076892.0,"1
"
1,Lagos State,9113605.0,12550598.0,"2
"
2,Kaduna State,6113503.0,8252366.0,"3
"
3,Katsina State,5801584.0,7831319.0,"4
"
4,Oyo State,5580894.0,7840864.0,"5
"
5,Rivers State,5198605.0,7303924.0,"6
"
6,Bauchi State,4653066.0,6537314.0,"7
"
7,Jigawa State,4361002.0,5828163.0,"8
"
8,Benue State,4253641.0,5741815.0,"9
"
9,Anambra State,4177828.0,5527809.0,"10
"
10,Borno State,4171104.0,5860183.0,"11
"
11,Delta State,4112445.0,5663362.0,"12
"
12,Niger State,3954772.0,5556247.0,"13
"
13,Imo State,3927563.0,5408756.0,"14
"
14,Akwa Ibom State,3178950.0,5482177.0,"15
"
15,Ogun State,3751140.0,5217716.0,"16
"
16,Sokoto State,3702676.0,4998090.0,"17
"
17,Ondo State,3460877.0,4671695.0,"18
"
18,Osun State,3416959.0,4705589.0,"19
"
19,Kogi State,3314043.0,4473490.0,"20
"
20,Zamfara State,3278873.0,4515427.0,"21
"
21,Enugu State,3267837.0,4411119.0,"22
"
22,Kebbi State,3256541.0,4440050.0,"23
"
23,Edo State,3233366.0,4235595.0,"24
"
24,Plateau State,3206531.0,4200442.0,"25
"
25,Adamawa State,3178950.0,4248436.0,"26
"
26,Cross River State,2892988.0,3866269.0,"27
"
27,Abia State,2845380.0,3727347.0,"28
"
28,Ekiti State,2398957.0,3270798.0,"29
"
29,Kwara State,2365353.0,3192893.0,"30
"
30,Gombe State,2365040.0,3256962.0,"31
"
31,Yobe State,2321339.0,3294137.0,"32
"
32,Taraba State,2294800.0,3066834.0,"33
"
33,Ebonyi State,2176947.0,2880383.0,"34
"
34,Nasarawa State,1869377.0,2523395.0,"35
"
35,Bayelsa State,1704515.0,2277961.0,"36
"
36,Federal Capital Territory,1405201.0,3564126.0,"â€“
"
